,Marks,Year,Rank
0,715,2022,4
1,720,2021,1
2,720,2020,1
3,701,2019,1
4,691,2018,1
5,710,2022,14
6,720,2021,3
7,720,2020,2
8,700,2019,2
9,690,2018,2
10,705,2022,42
11,716,2021,7
12,715,2020,4
13,695,2019,7
14,685,2018,7
15,700,2022,50
16,715,2021,20
17,710,2020,8
18,695,2019,8
19,680,2018,8
20,691,2022,222
21,710,2021,43
22,710,2020,10
23,691,2019,10
24,680,2018,10
25,690,2022,353
26,705,2021,100
27,705,2020,26
28,685,2019,43
29,655,2018,105
30,685,2022,513
31,700,2021,203
32,700,2020,71
33,680,2019,99
34,653,2018,107
35,677,2022,954
36,695,2021,343
37,695,2020,135
38,671,2019,208
39,645,2018,185
40,675,2022,1097
41,690,2021,512
42,690,2020,241
43,667,2019,294
44,644,2018,209
45,675,2022,1280
46,685,2021,722
47,685,2020,383
48,665,2019,364
49,643,2018,213
50,659,2022,2976
51,680,2021,991
52,680,2020,600
53,663,2019,438
54,640,2018,243
55,656,2022,3370
56,675,2021,1337
57,675,2020,864
58,662,2019,451
59,635,2018,325
60,655,2022,3690
61,670,2021,1701
62,670,2020,1194
63,661,2019,467
64,634,2018,336
65,654,2022,3794
66,665,2021,2188
67,665,2020,1626
68,660,2019,512
69,633,2018,355
70,654,2022,3810
71,660,2021,2758
72,660,2020,2198
73,655,2019,692
74,631,2018,390
75,651,2022,4131
76,655,2021,3400
77,655,2020,2876
78,653,2019,811
79,628,2018,450
80,650,2022,4659
81,650,2021,4169
82,650,2020,3719
83,650,2019,946
84,627,2018,476
85,650,2022,4558
86,645,2021,5031
87,645,2020,4713
88,645,2019,1289
89,623,2018,565
90,645,2022,5467
91,640,2021,6063
92,640,2020,5784
93,640,2019,1646
94,622,2018,605
95,643,2022,5922
96,635,2021,7195
97,635,2020,7028
98,635,2019,2147
99,621,2018,622
100,642,2022,6008
101,630,2021,8524
102,630,2020,8367
103,630,2019,2674
104,620,2018,655
105,633,2022,8398
106,625,2021,9896
107,625,2020,9916
108,625,2019,3300
109,619,2018,676
110,632,2022,8753
111,620,2021,11465
112,620,2020,11542
113,620,2019,3982
114,616,2018,783
115,631,2022,8850
116,615,2021,13161
117,615,2020,13325
118,615,2019,4930
119,615,2018,820
120,629,2022,9762
121,610,2021,15070
122,610,2020,15264
123,610,2019,5700
124,610,2018,1025
125,628,2022,9910
126,605,2021,17020
127,605,2020,17370
128,605,2019,6630
129,605,2018,1200
130,624,2022,11338
131,600,2021,19142
132,600,2020,19683
133,600,2019,7700
134,600,2018,1520
135,618,2022,13771
136,595,2021,21358
137,595,2020,22024
138,595,2019,8900
139,595,2018,1850
140,618,2022,13281
141,590,2021,23732
142,590,2020,24566
143,590,2019,10100
144,590,2018,2245
145,614,2022,14992
146,585,2021,26238
147,585,2020,27200
148,585,2019,11600
149,585,2018,2660
150,614,2022,15042
151,580,2021,28759
152,580,2020,30000
153,580,2019,13000
154,580,2018,3100
155,614,2022,15124
156,575,2021,31487
157,575,2020,32773
158,575,2019,14500
159,575,2018,3640
160,610,2022,16321
161,570,2021,34276
162,570,2020,35679
163,570,2019,16200
164,570,2018,4250
165,609,2022,16971
166,565,2021,37195
167,565,2020,38710
168,565,2019,17800
169,565,2018,4900
170,605,2022,18429
171,560,2021,40265
172,560,2020,41810
173,560,2019,20000
174,560,2018,5650
175,604,2022,19282
176,555,2021,43481
177,555,2020,45300
178,555,2019,21700
179,555,2018,6460
180,600,2022,20577
181,550,2021,46754
182,550,2020,49000
183,550,2019,23970
184,550,2018,7450
185,600,2022,20342
186,545,2021,50151
187,545,2020,52500
188,545,2019,25800
189,545,2018,8450
190,597,2022,22350
191,540,2021,53551
192,540,2020,56000
193,540,2019,28000
194,540,2018,9500
195,594,2022,23640
196,535,2021,57215
197,535,2020,59600
198,535,2019,30500
199,535,2018,10660
200,594,2022,23936
201,530,2021,60854
202,530,2020,63000
203,530,2019,33000
204,530,2018,11900
205,592,2022,24000
206,525,2021,64614
207,525,2020,67000
208,525,2019,35500
209,525,2018,13220
210,592,2022,24625
211,520,2021,68453
212,520,2020,70500
213,520,2019,38000
214,520,2018,14650
215,591,2022,25174
216,515,2021,72503
217,515,2020,74500
218,515,2019,40500
219,515,2018,16135
220,591,2022,25273
221,510,2021,76525
222,510,2020,78500
223,510,2019,43500
224,510,2018,17830
225,588,2022,26589
226,505,2021,80679
227,505,2020,82500
228,505,2019,46400
229,505,2018,14510
230,587,2022,27019
231,500,2021,85035
232,500,2020,86500
233,500,2019,49000
234,500,2018,21360
235,583,2022,28900
236,495,2021,89442
237,495,2020,90500
238,495,2019,52100
239,495,2018,23200
240,574,2022,34551
241,490,2021,94055
242,490,2020,95500
243,490,2019,55250
244,490,2018,25250
245,571,2022,35000
246,485,2021,98661
247,485,2020,99400
248,485,2019,58500
249,485,2018,27350
250,570,2022,36865
251,480,2021,103379
252,480,2020,104000
253,480,2019,61500
254,480,2018,29530
255,554,2022,46446
256,475,2021,108255
257,475,2020,108500
258,475,2019,65000
259,475,2018,31700
260,551,2022,48387
261,470,2021,113235
262,470,2020,113000
263,470,2019,68500
264,470,2018,34100
265,550,2022,48000
266,465,2021,118193
267,465,2020,117500
268,465,2019,72265
269,465,2018,36450
270,541,2022,54752
271,460,2021,123417
272,460,2020,122000
273,460,2019,75500
274,460,2018,39000
275,536,2022,58227
276,455,2021,128617
277,455,2020,127500
278,455,2019,80000
279,455,2018,41550
280,532,2022,60745
281,450,2021,133920
282,450,2020,131500
283,450,2019,83500
284,450,2018,42250
285,532,2022,60745
286,445,2021,139327
287,445,2020,136500
288,445,2019,87500
289,445,2018,47000
290,532,2022,60742
291,440,2021,144923
292,440,2020,142000
293,440,2019,91500
294,440,2018,50000
295,522,2022,67648
296,435,2021,150506
297,435,2020,147000
298,435,2019,95700
299,435,2018,53000
300,508,2022,77783
301,430,2021,156215
302,430,2020,152000
303,430,2019,100000
304,430,2018,56000
305,504,2022,80662
306,425,2021,161964
307,425,2020,157000
308,425,2019,105000
309,425,2018,59500
310,503,2022,81443
311,420,2021,168045
312,420,2020,163000
313,420,2019,109000
314,420,2018,62600
315,490,2022,91000
316,415,2021,174162
317,415,2020,168000
318,415,2019,114000
319,415,2018,66000
320,485,2022,95804
321,410,2021,180316
322,410,2020,174000
323,410,2019,118500
324,410,2018,70000
325,473,2022,105917
326,405,2021,186742
327,405,2020,180000
328,405,2019,123500
329,405,2018,73220
330,425,2022,151388
331,400,2021,193060
332,400,2020,185000
333,400,2019,128500
334,400,2018,77000
335,390,2022,195800
336,395,2021,199684
337,395,2020,191500
338,395,2019,133500
339,395,2018,81000
340,386,2022,195152
341,390,2021,206271
342,390,2020,197000
343,390,2019,139000
344,390,2018,85000
345,365,2022,222113
346,385,2021,212942
347,385,2020,203000
348,385,2019,144500
349,385,2018,89000
350,364,2022,223270
351,380,2021,219769
352,380,2020,210000
353,380,2019,150000
354,380,2018,93000
355,343,2022,252465
356,375,2021,226705
357,375,2020,216000
358,375,2019,155550
359,375,2018,97500
360,330,2022,271856
361,370,2021,233873
362,370,2020,222222
363,370,2019,161500
364,370,2018,102100
365,319,2022,289048
366,365,2021,241175
367,365,2020,228000
368,365,2019,167000
369,365,2018,106600
370,267,2022,382000
371,360,2021,248479
372,360,2020,235000
373,360,2019,173000
374,360,2018,111600
375,249,2022,422294
376,355,2021,255885
377,355,2020,241500
378,355,2019,180000
379,355,2018,116800
380,241,2022,404041
381,350,2021,263393
382,350,2020,248080
383,350,2019,185500
384,350,2018,121520
385,231,2022,461093
386,330,2021,294823
387,330,2020,276000
388,330,2019,212500
389,330,2018,144500
390,211,2022,512219
391,300,2021,345963
392,300,2020,323000
393,300,2019,258000
394,300,2018,182000
395,199,2022,5457781
396,280,2021,382782
397,280,2020,357000
398,280,2019,292000
399,280,2018,210600
400,195,2022,557923
401,250,2021,442774
402,250,2020,414500
403,250,2019,345000
404,250,2018,258500
405,191,2022,559876
406,200,2021,561135
407,200,2020,527000
408,200,2019,467000
409,200,2018,360000
410,163,2022,650939
411,150,2021,721854
412,150,2020,670000
413,150,2019,632000
414,150,2018,506500
415,140,2022,785670
416,125,2021,832793
417,125,2020,762000
418,125,2019,745000
419,125,2018,601500
420,130,2022,802571
421,113,2021,895647
422,113,2020,817000
423,107,2019,845000
424,100,2018,730000
